Course,Prerequisite
mghd24h3,1.0 credit from the following:  [ CLAA04H3/ HISA07H3  CLAB05H4/ HISB10H3  CLAB06H3/ HISB11H3  ANTA02H3  ANTB19H3  ANTB20H3  HISB02H3  AFSB50H3/ HISB50H3  AFSB51H3/ HISB51H3  HISB53H3  HISB57H3  HISB58H3  HISB60H3  HISB61H3  HISB62H3  HISB93H3  HISB94H3]
mghd25h3, VPHA46H3 and [3.0 credits at the B- or C-level in VPS courses including 0.5 credit taken from:  VPSB56H3  VPSB58H3  VPSB76H3  VPSB80H3  VPSB86H3  VPSB88H3  VPSB89H3  VPSB90H3  NMEB05H3  NMEB08H3 or  NMEB09H3]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
mghd26h3,Satisfactory completion of 13.5 full credits of which at least four must be Biology B- or C-level courses and permission of the instructor.
mghd27h3,None
mghd28h3,None
mgia01h3,Permission of the instructor and [CGPA 3.0 or enrolment in a CSC Subject POSt]. Normally intended for students who have completed at least 8 credits.
mgib01h3, PSYA01H3 and  PSYA02H3
mgib02h3, VPHB53H3 and  ACMB01H3
mgib12h3,One C-level credit in European History
mgic01h3,10.0 credits including  VPAA10H3  VPAA12H3  VPAB16H3 and  ACMB01H3
mgic02h3, FREB50H3
mgic14h3, POLB50Y3
mgid40h3, ANTB14H3 and  ANTB15H3 and any statistics course
mgid79h3, LINA02H3
mgma01h3, MGSC30H3/( MGTC31H3)
mgmb01h3,None
mgmc01h3, FREA96H3 or ( LGGA21H3)
mgmc02h3,Any 8.0 credits
mgmc11h3,[[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [ SOCB60H3 and an additional 8.0 credits and enrolment in the Minor in Critical Migration Studies]
mgmc12h3, BIOB38H3 or  BIOB50H3 or  BIOB51H3
mgmc13h3, ANTB19H3 and  ANTB20H3 and at least two C-level courses in socio-cultural anthropology
mgmc14h3, HLTB40H3
mgmc20h3,[[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [8.0 credits including  WSTB05H3 and enrolment in the Major in Women's and Gender Studies]
mgmc30h3, EESA01H3 or  EESA06H3 or any B-level EES course.
mgmd01h3,None
mgmd02h3,One full credit in Theatre and Performance at the C-level and permission of the Program Director.
mgmd10h3, ANTC41H3
mgmd11h3,Any 8.0 credits
mgoc10h3, IDSB01H3
mgoc20h3,None
mgod30h3, VPHA46H3 and [2.0 credits at the B- or C-level in VPS courses]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
mgsb22h3, CSCB07H3 and  CSCB09H3 and [CGPA 3.0 or enrolment in a CSC Subject POSt]
mgsc01h3, PHYC54H3
mgsc03h3, CHMA10H3 and  CHMA11H3
mgsc05h3, EESB03H3
mgsc07h3, HLTB50H3
mgsc12h3, LGGB62H3
mgsc14h3,[1.5 credits at the C-level in MAT courses] and [permission of the Supervisor of Studies] and [a CGPA of at least 3.0 or enrolment in a Mathematics Subject POSt]
mgsc20h3,No more than 10.0 credits completed. Students are required to take a diagnostic test of their academic English skills to be conducted by the English Language Development Centre in advance of the first day of class.
mgsc26h3, VPSA62H3 and  VPSA63H3 
mgsc30h3, MGAB03H3/( MGTB03H3) and [ MGHB02H3 or [( MGTB23H3) and ( MGTB29H3)] or ( MGTB27Y3)]
mgsc44h3,Any 6.0 credits 
mgsc46h3, MGEA01H3/( ECMA01H3) and [( GGRB02H3 and  GGRB05H3) or ( CITB01H3 and  CITB02H3)] or [[ MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)] and [ MGEB05H3/( ECMB05H3) or  MGEB06H3/( ECMB06H3)]]
mgsd01h3, WSTB11H3 and 1.0 credit at the C-level chosen from among the courses that can be used to satisfy requirement 6 of the Major in Women's and Gender Studies
mgsd05h3,None
mgsd15h3,4.0 credits and  MDSA01H3 
mgsd24h3, HLTB40H3
mgsd30h3,4.5 credits from the Major (Joint) program in New Media Studies Group I and Group II courses
mgsd32h3,Online placement test and survey.
mgsd40h3,[ PSYB10H3 or  PSYB57H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3]
mgta01h3,None
mgta02h3,None
mgta05h3,[[ VPSA62H3 and  VPSA63H3] and [0.5 credit at the B-level in VPS courses]] or [enrolment in the Minor in Curatorial Studies]
mgta35h3, IMCB01H3
mgta36h3, VPHA46H3
mgtb60h3,None
mgtc55h3,12 credits including:  JOUA06H3 and  JOUB11H3 and  JOUB14H3 and  JOUB18H3 and  JOUB19H3
mgtc56h3, MATC01H3 and [( MATC35H3) or  MATC37H3] and [ MATC15H3 or  MATD02H3]
mgtd15h3, POLB90H3 and [ POLB91H3 or  POLB92H3]
mgtd80h3,Completion of at least  2.0 credits at the C-level in HLT courses from the requirements of the Major/Major Co-op programs in Health Studies; and a minimum CGPA of 2.5.
mgtd81h3, VPDA10H3 and permission of the Theatre and Performance Studies Teaching Staff
mgtd82y3,[ MGEA02H3/( ECMA04H3) and  MGEA06H3/( ECMA06H3)] or [ MGEA01H3/( ECMA01H3) and  MGEA05H3/( ECMA05H3)]
nmea01h3, ACMB01H3 and [[ MDSA01H3 and  MDSB05H3] or [ JOUA01H3 and  JOUA02H3]]
nmea02h3, VPMA71H3
nmea03h3, ACTB40H3
nmea04h3,None
nmeb05h3,12.0 credits including:  JOUA06H3  JOUB11H3  JOUB14H3  JOUB18H3 and  JOUB19H3; students must have a minimum CGPA of 2.0 
nmeb06h3,At least one course (0.5 credit) at B- or C-level in film
nmeb08h3,10.0 credits and  SOCB05H3  and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3] 
nmeb09h3,1.5 credits at the C-level in POL courses
nmeb10h3,4.0 credits
nmec01h3,None
nmed10y3,None
nrob60h3, POLB72H3 or ( POLB70H3) or ( POLB71H3)
nroc34h3, ANTB22H3 
nroc36h3,[At least 1.5 credits at the B-level in ONE of the following: City Studies or Human Geography or Political Science or Sociology]
nroc60h3, HISB30H3 and  HISB31H3
nroc61h3,3.0 credits at the B-level in the Department of Arts Culture and Media.
nroc63h3,[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
nroc64h3,[ BIOB11H3 or ( BIOB10Y3)] and [ BIOC31H3 or  BIOC40H3 or ( BIOB31H3)]
nroc69h3,14.0 credits cumulative GPA of at least 2.5 and permission from the coordinator.
nroc90h3, ENGB60H3
nroc93h3,[ FREA01H3 and  FREA02H3] or equivalent.
nrod08h3,Any 6.0 credits 
nrod60h3,None
nrod66h3,[ POLB50Y3 or equivalent] and  POLC54H3
nrod67h3,13.0 credits including [ GGRB05H3 or  CITB02H3]
nrod98y3,[ LGGB70H3 and  LGGB71H3]
phla10h3,Any three full credits in Theatre and Performance Studies and permission of the Program Director.
phla11h3,1.0 credit at the C-level in ENG courses
phlb02h3,[[ MGTA01H3/( MGTA03H3) and  MGTA02H3/( MGTA04H3)] or  MGTA05H3] and  MGIB02H3/( MGTB25H3)
phlb03h3,2.0 full credits at the B-level from VPA VPH and/or VPS
phlb04h3,1.0 credit at the C-level in FRE courses
phlb05h3,3.0 credits at the B- or C-level in COG and/or LIN and/or PSY and permission of the supervisor.  Note:  Normally students need a cumulative GPA of at least 2.7 for permission to be granted.
phlb06h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]
phlb07h3,[[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3] or [any 4.0 credits and enrolment in the Major/Major Co-op in Public Policy]
phlb09h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]
phlb11h3, BIOA01H3 and  BIOA02H3
phlb12h3,  [ PSYB01H3 or  PSYB04H3] and [ PSYB55H3 or ( PSYB65H3)] and  PSYC62H3
phlb13h3, BIOC54H3
phlb17h3,Any 6.0 credits 
phlb20h3, EESA06H3 and  EESB20H3
phlb30h3,None
phlb31h3, PHYA10H3 [ MATA30H3 or  MATA31H3]
phlb33h3, FREC01H3
phlb35h3,None
phlb50h3, RLGA01H3 or ( HUMB04H3)
phlb55h3,10.0 credits including  VPAA10H3  VPAA12H3  VPAB16H3 and  ACMB01H3
phlb60h3,None
phlb81h3,[ HLTB15H3 and [ STAB22H3 or  STAB23H3]] or [10.0 credits and [ SOCB05H3 and  SOCB35H3] and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]]
phlb91h3,Completion of at least 8.0 full credits
phlb99h3, VPHA46H3
phlc03h3,Any 2.5 credits in History.
phlc05h3, EESA06H3
phlc06h3,Any 8.0 credits
phlc07h3,Any B-level course in Anthropology or Biology and any statistics course.
phlc08h3,1.5 credits at the C-level in Studio.
phlc09h3, GGRB30H3
phlc10h3, VPHA46H3 or  ACMA01H3 or  AFSA01H3
phlc13h3,[[ POLB80H3 and  POLB81H3] or  ESTB01H3]] and [2.0 credits at the C-level in any courses]
phlc14h3, MATB24H3 and [ MATB43H3 or  CSCB36H3]
phlc20h3, VPSA62H3 and  VPSA63H3 and  VPSB56H3
phlc22h3, CTEB01H3 or  SOCB26H3
phlc31h3,[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
phlc32h3,[( MDSA21H3) or  JOUA01H3] and [( MDSA22H3) or  JOUA02H3] and ( HUMA01H3).
phlc35h3,None
phlc36h3, RLGB10H3 and 2 C-level courses in Religion
phlc37h3,4.0 credits including  ACMB01H3 and  JOUA01H3 and  JOUA02H3
phlc43h3,Any B-level course in African Studies Linguistics History or Women's and Gender Studies
phlc51h3,10 full credits including completion of the following requirements for the Major Program in Human Geography: 1) Introduction 2) Theory and Concepts 3) Methods; and a cumulative GPA of at least 2.5.
phlc60h3, MGEB12H3/( ECMB12H3) and  MGEC06H3/( ECMC06H3)
phlc72h3, CSCB36H3 and [CGPA of at least 3.0 or enrolment in a CSC Subject POSt or enrolment in a non-CSC Subject POSt for which this specific course is a program requirement]
phlc80h3,5.0 full credits including  IDSA01H3
phlc86h3,2 C-level courses in English.
phlc89h3, CHMA11H3 and  STEB21H3 and  STEB07H3
phlc92h3,None
phlc93h3,[ FREA01H3 and  FREA02H3] or equivalent.
phlc95h3,[[ BIOC12H3 and  BIOC13H3] or  CHMB62H3] and  CHMC31Y3
phlc99h3,[ NROC34H3 or  NROC64H3 or  NROC69H3] and [ MATA29H3 or  MATA31H3] and [ PSYB07H3 or  STAB22H3]
phld05h3,[ CHMB20H3 or  CHMB23H3] and  CHMB21H3 and  MATB41H3 and  PHYA21H3
phld09h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the Mind Metaphysics and Epistemology area of focus – see Table 1.0 for reference]
phld20h3, ACMB02H3 and [an additional 4.5 credits in MDS or JOU courses 1.0 credit of which must be at the C-level]
phld31h3, MATC34H3
phld35h3, MGAB03H3/( MGTB03H3)
phld36h3, ANTB19H3 and  ANTB20H3
phld43h3, ANTA01H3 and  ANTA02H3 and 2.0 full credits in Anthropology one of which must be at the C-level. Permission of the instructor.
phld51h3, EESA06H3 and 0.5 credit at the B-level in EES courses
phld78h3, MGAB03H3/( MGTB03H3)
phld79h3, BIOB10H3
phld87h3, MGEB02H3/( ECMB02H3)
phld88y3, LINB09H3
phld90h3,8.0 credits including 1.0 credit in POL courses
phld91h3, PSYB21H3 or [( SOCA01H3) and ( SOCA02H3)]
phld92h3, BIOA01H3 and  BIOA02H3
phld93h3, MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)
phld94h3, IDSA01H3 and  IDSB10H3
phld95h3, BIOB50H3 and  CHMA10H3 and  CHMA11H3
phld96h3,14.5 credits and  STAB22H3 (or equivalent)
phld97h3, MGFB10H3/( MGTB09H3)
phld98h3,[ MATA36H3 or  MATA37H3] and [ MATB24H3 or MAT224H]
phld99h3,Any 4 credits
phya10h3,2 C-level courses in English
phya11h3,None
phya21h3, VPHA46H3 and  VPSB56H3 and  VPSB67H3 and [1.0 credit at the B- or C-level in Studio courses]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
phya22h3,14.5 credits including: [ JOUB05H3 and  JOUC18H3 and  JOUC19H3 and  JOUC20H3] and [( JOUB09H3) or  JOUB20H3]; students must have a minimum CGPA of 2.0 
phyb01h3,None
phyb10h3, BIOC50H3 or  BIOC63H3
phyb21h3,3.5 credits in PHL courses including [ PHLC35H3 and 0.5 credit at the C-level]
phyb52h3, SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
phyb54h3,[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
phyb56h3,Students must obtain consent from the Supervisor of Studies before registering for this course.
phyc11h3, EESA06H3 and an additional 9.5 credits
phyc50h3, STAB27H3 or  STAB57H3 or  MGEB12H3/( ECMB12H3) or  PSYC08H3
phyc54h3, VPMA93H3
phyc56h3, LINA01H3 and  LINA02H3
phyc83h3,None
phyd01h3, STAB52H3
phyd26h3, HLTB15H3 and  HLTB16H3 and any statistics course
phyd27h3, SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
phyd28h3,[1.0 credit from:  POLB80H3  POLB81H3  POLB90H3  POLB91H3  POLB92H3]
phyd37h3, VPSA62H3 and  VPSA63H3
phyd38h3,[ STAB22H3 or equivalent] and [at least 1.5 credits at the B-level in ONE of the following: City Studies or Human Geography or Economics for Management Studies or Management or Political Science]
phyd57h3,Any 4.0 credits
phyd72h3,Any 4.0 credits
plic24h3, [ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB32H3 and [ PSYB55H3 or ( PSYB65H3)]
plic25h3,[[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [8.0 credits including  WSTB05H3 and enrolment in the Major in Women's and Gender Studies]
plic54h3,1.0 credit at the A-level in AFS CLA GAS HIS or WST courses
plic55h3,[ ANTB19H3 and  ANTB20H3] or [any 8.0 credits in ANT HLT IDS CIT GGR POL SOC or HCS courses]
plic75h3, MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)
plid01h3,None
plid02h3, MGEB02H3/( ECMB02H3)
plid03h3, POLB80H3 and  POLB81H3
plid07y3, BIOA01H3 or  BIOA11H3
plid34h3,Any 4 credits
plid44h3, VPHA46H3 and [2.0 credits at the B- or C-level in VPS courses including 0.5 credit taken from:   VPSB58H3  VPSB67H3  VPSB75H3  VPSB76H3 or  VPSB77H3]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
plid50h3,[ PHYA10H3 or  PHYA11H3 or ( PHYA01H3)] and [ MATA29H3 or  MATA30H3 or  MATA31H3]
plid56h3,Any 6.0 credits
plid74h3,None
pmdb22h3,Completion of at least 2.0 credits at the C-Level in HLT courses from the requirements of the Major/Major Co-op programs in Health Studies; and a minimum CGPA of 2.5.
pmdb25h3,2 C-level courses in English.
pmdb30h3,[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3
pmdb32y3,[[( SOCA01H3 )and ( SOCA02H3)] or  SOCA03Y3] or [any 4.0 credits and enrolment in the Minor in Culture Creativity and Cities]
pmdb33h3,[ PSYB01H3 or  PSYB04H3] and  PSYB10H3 and [ PSYC12H3 or  PSYC13H3 or  PSYC14H3] 
pmdb36h3,[ AFSA03H3/ IDSA02H3 or  IDSB01H3 or  IDSB02H3] or [[ WSTA01H3 or  WSTA03H3 ] and [an additional 0.5 credit in WST courses]]
pmdb41h3, EESA01H3 and  EESA06H3
pmdc40h3, PSYB32H3
pmdc42y3,It is recommended that  DTSB01H3 and  DTSB02H3 be taken in the same academic year.
pmdc43h3,[[ FREB01H3 and  FREB02H3] or equivalent]] and  FREB11H3
pmdc54y3,1.0 credit at the C-level in art history. Students are advised that they must obtain consent from the supervising instructor before registering for these courses.
pmdc56h3, MATC01H3
pola01h3, CSCB07H3 and  CSCB09H3 and  CSCB58H3 and [CGPA 3.0 or enrolment in a CSC Subject POSt]
pola02h3, MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)
polb30h3,2 full credits at the B-level in Art History Asian History and/or Global Asia Studies including at least one of  VPHB39H3  VPHB73H3  HISB58H3 ( GASB31H3)  GASB33H3 or ( GASB35H3).
polb50y3,[[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3] or [ WSTA01H3 and  WSTA03H3]
polb72h3,2 C-level courses in English or [ AFSA01H3 and [ ENGB22H3 or ( ENGC72H3)]]
polb80h3,None
polb81h3,[1.0 credit from the following:  JOUC30H3  JOUC31H3  JOUC62H3  JOUC63H3]
polb90h3,[[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [ SOCB60H3 and an additional 8.0 credits and enrolment in the Minor in Critical Migration Studies]
polb91h3,Any modern history course or  AFSA01H3
polb92h3, STAB57H3 and  STAC62H3
polc09h3,Permission of the instructors.
polc11h3,Any 4.0 credits
polc16h3,None
polc21h3, HLTB16H3
polc22h3,One full credit in Theatre and Performance at the C-level and permission of the Program Director.
polc32h3,Any 8.0 credits
polc36h3,None
polc37h3, ANTB19H3 and  ANTB20H3
polc38h3,Permission of the instructor.
polc39h3,[ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB10H3 and [an additional 0.5 credit at the B-level in PSY courses]
polc40h3,[[ MGTA01H3/( MGTA03H3) and  MGTA02H3/( MGTA04H3)] or  MGTA05H3] and [ MGTA36H3 or  MGTA35H3]
polc42h3, POLB90H3 or  POLB91H3
polc53h3, CSCC37H3 and  MATB24H3 and  MATB41H3 and [CGPA 3.0 or enrolment in a CSC Subject POSt]
polc54h3, MATB41H3 and  PHYA21H3
polc56h3,None
polc57h3,Completion of at least 10.0 full credits including  MGAB01H3)/( MGTB05H3) and  MGAB02H3/( MGTB06H3 and  MGAB03H3/( MGTB03H3).
polc58h3,[ PSYB01H3 or  PSYB04H3] and  PSYB10H3 and [ PSYC12H3 or  PSYC14H3]
polc59h3, EESA06H3 and an additional 9.5 credits
polc65h3,None
polc68h3,None
polc69h3, HLTA03H3 and  HLTB50H3 and [an additional 1.5 credits at the C-level in HLT courses]; and a minimum CGPA of 2.5.
polc70h3, VPMA74H3 or ( VPMA92H3)
polc71h3, POLB50Y3 or equivalent 
polc72h3,[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
polc73h3, MGHB12H3/( MGTC22H3) or  MGIB12H3
polc74h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in AFS CLA FST GAS HIS or WST courses] and [0.5 credit at the C-level in AFS CLA FST GAS HIS or WST courses]
polc78h3, FREB27H3 or  FREB50H3
polc79h3,Any 4.0 credits
polc80h3,[ FREA01H3 and  FREA02H3] or equivalent.
polc83h3,2 C-level courses in English
polc87h3, PSYA01H3 and  PSYA02H3
polc88h3,Permission of the instructor and  ANTA01H3 and  ANTA02H3 and one B-level full credit in Anthropology in the appropriate sub-field (biological or cultural).
polc90h3,[HLTB15H3 and [STAB22H3 or STAB23H3]] or [10.0 credits and [SOCB05H3 and SOCB35H3] and [1.0 credit from the following: SOCB30H3 SOCB42H3 SOCB43H3 SOCB47H3]]
polc91h3, POLB90H3  Note: It is strongly recommended that students take  POLB90H3 and  POLB91H3 in consecutive sessions.
polc92h3,[1.0 credit in History] or [ VPHA46H3 and  ACMB01H3 and an additional 1.0 credit in VPH courses]
polc93h3,Any 6.0 credits
polc94h3, BIOA01H3 and  BIOA02H3
polc96h3,4.0 credits including  ACMB01H3
polc97h3, PLIC24H3
polc98h3,At least 1.5 credits at the B-level in one of the following: City Studies or Human Geography or Political Science or Sociology
polc99h3,[ CHMA10H3 and  CHMA11H3] and  MATA30H3 and [ MATA35H3 or  MATA36H3] and  PHYA10H3
pold01h3, BIOC10H3 or  BIOC12H3 or  BIOC15H3 
pold02y3,Any 4.0 credits
pold09h3,None
pold30h3,Completion of at least 10.0 credits including  MGAB01H3/( MGTB05H3) and  MGAB02H3/( MGTB06H3) and [ MGTA36H3 or  MGTA35H3]
pold41h3,[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
pold42h3,Two B-level half-credits in Psychology or permission of the instructor
pold45h3,[ CSCA48H3 or  PSCB57H3] and [CGPA of at least 3.0 or enrolment in a CSC Subject POSt or enrolment in a non-CSC Subject POSt for which this specific course is a program requirement]
pold50h3,None
pold51h3,None
pold52h3,Any 6.0 credits 
pold53h3,One full credit in Classics or in English or another literature
pold55h3,Any 6.0 credits
pold59h3, VPHA46H3 and [ VPSB77H3 or  VPDA11H3 or  VPDA15H3] and [1.5 additional credits at the B- or C-level in VPS or TAPS courses]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
pold67h3,1.0 credit at the B-level and 1.0 credit at the C-level in WST courses or other Humanities and Social Sciences courses
pold70h3, ANTA02H3 and  ANTB19H3 and  ANTB20H3
pold78h3,11.0 credits including  VPHB39H3  CRTB01H3 and  CRTB02H3
pold87h3, POLB80H3 and  POLB81H3
pold89h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3]  and  PSYB10H3 and  PSYB20H3 and [0.5 credit at the C-level in PSY courses]
pold90h3, ASTB23H3
pold91h3,None
pold92h3, VPMA68H3
pold94h3,Any 4.0 credits including:  AFSB50H3/ HISB50H3 or  AFSB51H3/ HISB51H3 or ( HISC50H3) or ( HISC51H3)
pold95h3,Enrolment in any Bachelor of Business Administration (BBA) program.
pold98h3, EESC16H3 and permission of the instructors
ppgc66h3,None
ppgc67h3,[ FREA01H3 and  FREA02H3] or equivalent.
ppgd64h3, ANTA02H3
pscb57h3,1.0 credit at the C-level in FRE courses
pscb90h3,[ POLB50Y3 or equivalent] and [1.5 credits at the C-level in POL or PPG courses]
pscd01h3, ANTA02H3 or  AFSA01H3
pscd02h3, IMCB08H3
pscd11h3,None
pscd50h3, NROC36H3 or  NROC61H3 or  NROC69H3 
psya01h3, ANTB19H3 and  ANTB20H3 and at least one additional C-level course in socio-cultural anthropology.
psya02h3, FREA01H3 and  FREA02H3
psyb01h3,None
psyb03h3,None
psyb04h3,Any 5 full credits including  RLGA01H3 or  RLGA02H3 or  RLGB10H3
psyb07h3, EESB02H3 and  EESB04H3 and  EESC07H3
psyb10h3, STAC62H3 and  STAC67H3
psyb20h3, PSYA01H3 and  PSYA02H3
psyb21h3, ANTB14H3 and  ANTB15H3
psyb30h3, PMDC40H3 and  PMDC42Y3 and  PMDC43H3
psyb32h3,[ MGEA02H3/( ECMA04H3) and  MGEA06H3/( ECMA06H3)] or [ MGEA01H3/( ECMA01H3) and  MGEA05H3/( ECMA05H3)]
psyb45h3, ANTB19H3 and  ANTB20H3
psyb51h3,At least 1.5 credits at the B-level in ONE of the following: City Studies or Human Geography or Economics for Management Studies or Management
psyb55h3,Any 4.0 credits including:  AFSA01H3/ HISA08H3 or  AFSB50H3/ HISB50H3 or  AFSB51H3/ HISB51H3
psyb57h3,Any 6.0 credits
psyb64h3,[ STAB41H3 or  MGFC30H3/( MGTC71H3)] and  STAC62H3
psyc02h3, BIOC10H3 or  BIOC20H3 or  BIOC39H3
psyc03h3,1.0 credit at the B-level and 1.0 credit at the C-level in WST courses or other Humanities and Social Sciences courses
psyc04h3, VPAA10H3 and  VPAA12H3 and  ACMB01H3
psyc05h3, VPAA10H3
psyc06h3, BIOA01H3 and  BIOA02H3
psyc08h3, LGGC60H3
psyc09h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]
psyc10h3,Permission of the Course Coordinator
psyc11h3, IDSA01H3
psyc12h3, BIOB34H3 or  NROB60H3
psyc13h3,None
psyc14h3,None
psyc16h3, BIOC14H3
psyc18h3,Any 6.0 credits
psyc19h3, POLB50Y3
psyc21h3,Any 6.0 credits 
psyc23h3, POLB90H3 and  POLB91H3
psyc26h3,Any 4.5 credits and [ PHLB03H3 and an additional 1.0 credit in PHL courses]
psyc31h3,12.0 credits including  IDSA01H3
psyc32h3, POLB72H3 or  PHLB17H3
psyc33h3,At least 1.5 credits at the B-level in ONE of the following course subject areas: CIT or GGR or POL or SOC
psyc35h3,None
psyc36h3,At least 1.0 credit at the C-level in PLI courses and permission of the supervising instructor.
psyc37h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB20H3 and [0.5 credit at the C-level in PSY courses]
psyc39h3,[1.0 credit in History] or [ VPHA46H3 and  ACMB01H3 and an additional 1.0 credit in VPH courses]
psyc50h3, NMEA01H3  NMEA02H3  NMEA03H3  NMEA04H3
psyc51h3, [ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3]  and  PSYB32H3 and [0.5 credit at the C-level in PSY courses]
psyc52h3,Satisfactory completion of 12.5 full credits of which at least four must be Biology B- or C-level courses. Students must have permission of the instructor. In order to be eligible for  BIOD95H3 with the same instructor as for  BIOD98Y3 or  BIOD99Y3 the student and instructor must provide a plan that goes beyond the work of those courses.
psyc56h3,None
psyc57h3,None
psyc58h3,[Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses] or [any 8.0 credits including  SOCB60H3]
psyc59h3,8.0 credits including [ CITB02H3 and 1.0 credit at the B-level in CIT courses]
psyc62h3, MATB42H3 and  MATB44H3 and  PHYB54H3
psyc85h3,1.0 credit in art history or in Asian or medieval European history.
psyc90h3,Any 4.0 credits in HIS courses
psyc93h3, PSYA01H3 and  PSYA02H3
psyd11h3, ENGB60H3 and  ENGC86H3 and 1 other C-level Creative Writing course and permission of the instructor.
psyd12h3, IMCB05H3 and  IMCB06H3
psyd13h3, IDSA01H3 and [1.0 credit at the B-level in IDS courses]
psyd14h3, EESB04H3 and  STEB42H3
psyd15h3,None
psyd16h3,[ PSYB01H3 or  PSYB04H3] and  PSYB30H3 and  PSYC35H3
psyd17h3, LINB04H3 or  LINB06H3 or  LINB09H3
psyd18h3,2 C-level courses in English
psyd20h3,[ LINA01H3 or [ FREB44H3 and  FREB45H3]] and [ PLIC24H3 or ( PLIB25H3)]
psyd22h3,12.0 credits including [ SOCA03Y3 or [( SOCA01H3) and ( SOCA02H3)]] and  SOCB05H3 and [ SOCB35H3 or ( SOCB06H3)] and [ SOCC23H3 or  SOCC31H3] and a cumulative GPA of at least 2.7
psyd23h3, HLTB50H3
psyd24h3,0.5 credit in PHL courses excluding [ PHLB50H3 and  PHLB55H3]
psyd30h3, VPHA46H3 and  VPSB56H3 and [an additional 1.5 credits at the B- or C-level in VPS courses]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
psyd31h3, ACMB01H3 and [[2.0 credits at the B-level in MDS courses] or [4.5 credits from the Major (Joint) program in New Media Studies Group I and Group II courses]]
psyd32h3,13.0 credits including  GGRB02H3
psyd33h3, LGGB60H3 
psyd34h3, STAC70H3 and  STAD37H3
psyd35h3,[[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3] and  SOCB42H3 and enrolment in a Sociology program
psyd37h3,3.0 credits at the B-level in the Department of Arts Culture and Media.
psyd39h3,One full credit in Classics or History
psyd50h3, VPMC91H3 and [an additional 0.5 credit at the C-level in VPM courses]
psyd51h3,Any 2.0 credits
psyd54h3, ANTB19H3 and  ANTB20H3
